Website URL,Topics,Manual,Match,Empty
trade.atlantiscex.com,[],"['currencies & foreign exchange', 'sales', 'finance', 'business & industrial', 'investing', 'advertising & marketing', 'financial planning & management']",False,True
sadlierconnect.com,['arts & entertainment'],"['educational resources', 'reference', 'jobs & education', 'colleges & universities', 'education']",False,False
webcampus.fdu.edu,['colleges & universities'],"['educational resources', 'reference', 'jobs & education', 'colleges & universities', 'education']",True,False
www.softbank.jp,"['internet & telecom', 'phone service providers']","['currencies & foreign exchange', 'finance', 'credit cards', 'tax preparation & planning', 'investing', 'accounting & auditing']",False,False
www.camif.fr,['home & garden'],"['home & garden', 'home improvement', 'home & interior decor', 'household supplies']",True,False
codsaya.com,[],"['card games', 'travel & transportation', 'acting & theater', 'arts & entertainment', 'tourist destinations', 'games']",False,True
www.livefans.jp,['arts & entertainment'],"['humor', 'acting & theater', 'arts & entertainment', 'live comedy', 'online video']",True,False
glitch.com,['coupons & discount offers'],"['computers & electronics', 'web apps & online tools', 'web design & development', 'programming', 'internet & telecom']",False,False
lms.igdir.edu.tr,['colleges & universities'],"['educational resources', 'reference', 'jobs & education', 'colleges & universities', 'education']",True,False
dembuon.vn,['news'],"['news', 'online communities', 'local news', 'forum & chat providers', 'social networks']",True,False
imsis-djpu.dephub.go.id,['law & government'],"['law & government', 'travel & transportation', 'air travel', 'business & industrial', 'aviation industry']",True,False
weltwoche.ch,['news'],"['online communities', 'local news', 'news', 'forum & chat providers']",True,False
www.casper.com.tr,"['shopping', 'consumer resources']","['shopping', 'laptops & notebooks', 'computers & electronics']",False,False
jedileri.ba,['shopping'],"['law & government', 'business operations', 'construction & maintenance', 'legal', 'business & industrial', 'human resources', 'legal services']",False,False
playsports.sbobet.com,[],"['sports', 'arts & entertainment', 'live sporting events']",False,True
www.dvauction.com,['shopping'],"['sales', 'live sporting events', 'arts & entertainment', 'advertising & marketing', 'business & industrial', 'online video']",False,False
