Rumaisa,Sochima,Murtaza,
,,,
Topics List sourced from: https://github.com/patcg-individual-drafts/topics/blob/main/taxonomy_v1.md?plain=1,,,
Website URL,Label 1,Label 2,Label 3
trade.atlantiscex.com,/Finance/Financial Planning & Management,/Finance/Investing/Currencies & Foreign Exchange,/Business & Industrial/Advertising & Marketing/Sales
w2.brreg.no,,,
sadlierconnect.com,/Jobs & Education/Education,/Jobs & Education/Education/Colleges & Universities,/Reference/Educational Resources
webcampus.fdu.edu,/Jobs & Education/Education,/Jobs & Education/Education/Colleges & Universities,/Reference/Educational Resources
www.softbank.jp,/Finance/Investing/Currencies & Foreign Exchange,/Finance/Credit Cards,/Finance/Accounting & Auditing/Tax Preparation & Planning
www.camif.fr,/Home & Garden/Home & Interior Decor,/Home & Garden/Home Improvement,/Home & Garden/Household Supplies
codsaya.com,/Games/Card Games,/Arts & Entertainment/Acting & Theater,/Travel & Transportation/Tourist Destinations
www.livefans.jp,/Arts & Entertainment/Acting & Theater,/Arts & Entertainment/Humor/Live Comedy,/Arts & Entertainment/Online Video
glitch.com,/Computers & Electronics/Programming,/Internet & Telecom/Web Apps & Online Tools,/Internet & Telecom/Web Design & Development
lms.igdir.edu.tr,/Jobs & Education/Education,/Jobs & Education/Education/Colleges & Universities,/Reference/Educational Resources
dembuon.vn,/Online Communities/Forum & Chat Providers,/Online Communities/Social Networks,/News/Local News
imsis-djpu.dephub.go.id,/Law & Government,/Business & Industrial/Aviation Industry,/Travel & Transportation/Air Travel
weltwoche.ch,/News,/News/Local News,/Online Communities/Forum & Chat Providers
www.casper.com.tr,/Computers & Electronics,/Shopping,/Computers & Electronics/Laptops & Notebooks
jedileri.ba,/Law & Government/Legal/Legal Services,/Business & Industrial/Business Operations/Human Resources,/Business & Industrial/Construction & Maintenance
playsports.sbobet.com,/Sports,/Arts & Entertainment,/Arts & Entertainment/Live Sporting Events
www.dvauction.com,/Business & Industrial/Advertising & Marketing/Sales,/Arts & Entertainment/Live Sporting Events,/Arts & Entertainment/Online Video
