Website URL,Topics,Manual,Match,Empty
sadlierconnect.com,['arts & entertainment'],"['colleges & universities', 'education', 'jobs & education', 'reference', 'educational resources']",False,False
www.softbank.jp,"['internet & telecom', 'phone service providers']","['investing', 'accounting & auditing', 'credit cards', 'tax preparation & planning', 'finance', 'currencies & foreign exchange']",False,False
glitch.com,['coupons & discount offers'],"['computers & electronics', 'web apps & online tools', 'programming', 'internet & telecom', 'web design & development']",False,False
www.casper.com.tr,"['shopping', 'consumer resources']","['laptops & notebooks', 'computers & electronics', 'shopping']",False,False
jedileri.ba,['shopping'],"['business & industrial', 'business operations', 'human resources', 'law & government', 'construction & maintenance', 'legal services', 'legal']",False,False
www.dvauction.com,['shopping'],"['advertising & marketing', 'business & industrial', 'sales', 'arts & entertainment', 'online video', 'live sporting events']",False,False
web.bpl.net,['reference'],"['computers & electronics', 'software', 'web apps & online tools', 'internet & telecom', 'operating systems']",False,False
direct.uber.com,"['news', 'travel & transportation']","['business & industrial', 'travel & transportation', 'automotive industry', 'car rentals']",False,False
www.webcamjackers.com,['outdoors'],"['arts & entertainment', 'online video', 'people & society', 'entertainment industry']",False,False
www.fust.ch,['news'],"['computers & electronics', 'home & garden', 'shopping']",False,False
silfmonitoraggio.regione.campania.it,['legal'],"['human resources', 'business & industrial', 'computers & electronics', 'business operations']",False,False
gamesfull.app,"['internet & telecom', 'computer & video games']","['games', 'online communities', 'movie listings & theater showtimes', 'arts & entertainment', 'forum & chat providers', 'computer & video games']",False,False
www.laprensalara.com.ve,"['news', 'local news']","['sports', 'arts & entertainment', 'news', 'live sporting events']",False,False
trans.info,['business & industrial'],"['cargo trucks & trailers', 'travel & transportation', 'news', 'long distance bus & rail', 'autos & vehicles']",False,False
www.myflfamilies.com,['movies'],"['home safety & security', 'people & society', 'news', 'family & relationships', 'local news', 'home & garden']",False,False
www.adecco.fr,['job listings'],"['web apps & online tools', 'career resources & planning', 'jobs', 'news', 'internet & telecom', 'jobs & education', 'local news']",False,False
www.hb-nippon.com,"['news', 'sports']","['politics', 'news', 'online communities', 'local news', 'forum & chat providers']",False,False
m.4d88.asia,"['arts & entertainment', 'online video']","['sports', 'online communities', 'arts & entertainment', 'live sporting events', 'forum & chat providers']",False,False
www.tamilvu.org,"['finance', 'news']","['colleges & universities', 'education', 'distance learning', 'jobs & education', 'reference', 'educational resources']",False,False
www.pcworld.pl,"['computers & electronics', 'news', 'science']","['computers & electronics', 'web apps & online tools', 'internet & telecom', 'home & garden', 'home appliances']",False,False
skemaraja.dephub.go.id,['law & government'],"['travel & transportation', 'hotels & accommodations']",False,False
www.codmon.com,"['computer & video games', 'consumer electronics']","['early childhood education', 'jobs & education', 'colleges & universities', 'education']",False,False
www.enligne.parionssport.fdj.fr,"['sports', 'soccer', 'news']","['sports', 'arts & entertainment', 'finance', 'live sporting events']",False,False
m.sportmaster.kz,"['sports', 'news']","['sports', 'finance', 'financial planning & management', 'shopping']",False,False
www.brocardi.it,['credit cards'],"['law & government', 'legal', 'legal services', 'crime & justice']",False,False
demonssouls.wiki.fextralife.com,"['roleplaying games', 'action & platform games']","['games', 'action & platform games', 'people & society', 'science fiction & fantasy', 'strategy games', 'computer & video games']",False,False
onba.zkb.ch,['news'],"['investing', 'credit cards', 'stocks & bonds', 'financial planning & management', 'finance']",False,False
sakti123.co,"['arts & entertainment', 'news']","['games', 'investing', 'online communities', 'finance', 'card games']",False,False
www.yanolja.com,['arts & entertainment'],"['travel & transportation', 'hotels & accommodations', 'people & society', 'family & relationships']",False,False
put888a.com,"['job listings', 'travel & transportation']","['finance', 'investing', 'arts & entertainment', 'online communities']",False,False
www.saamana.com,"['news', 'arts & entertainment']","['politics', 'news', 'local news', 'online communities']",False,False
www.mondelezinternational.com,['news'],"['agriculture & forestry', 'business & industrial', 'food & drink', 'healthy eating', 'cooking & recipes']",False,False
juegos.loteria.cl,"['computer & video games', 'arts & entertainment']","['home & interior decor', 'home & garden']",False,False
emploi.educarriere.ci,['job listings'],"['career resources & planning', 'jobs', 'law & government', 'jobs & education', 'legal services', 'legal']",False,False
