Website URL,CITM,Manual,Match,Empty
suite.sogiscuola.com,"['computers & electronics', 'software', 'web browsers']","['education', 'web apps & online tools', 'distance learning', 'jobs & education', 'internet & telecom']",False,False
loadedfiles.com,"['networking', 'outdoors', 'computers & electronics', 'arts & entertainment', 'hobbies & leisure', 'online video']","['computers & electronics', 'internet & telecom', 'networking', 'distributed & cloud computing']",False,False
skemaraja.dephub.go.id,"['beauty & fitness', 'people & society', 'advertising & marketing', 'business & industrial', 'face & body care']","['travel & transportation', 'hotels & accommodations']",False,False
easy-firmware.com,"['consumer electronics', 'finance', 'credit cards', 'computers & electronics', 'software']","['forum & chat providers', 'smart phones', 'computers & electronics', 'software', 'internet & telecom', 'online communities']",False,False
thesimplehelp.com,"['gardening', 'pets & animals', 'home & garden', 'wrestling', 'sports']","['forum & chat providers', 'jobs & education', 'jobs', 'career resources & planning', 'online communities']",False,False
gamesfull.app,"['science', 'business & industrial', 'books & literature', 'ecology & environment', 'printing & publishing']","['forum & chat providers', 'computer & video games', 'movie listings & theater showtimes', 'games', 'arts & entertainment', 'online communities']",False,False
www.samagra.gov.in,"['food & drink', 'internet & telecom', 'cooking & recipes', 'text & instant messaging', 'outdoors', 'hobbies & leisure', 'healthy eating']","['law & government', 'people & society', 'ancestry & genealogy', 'family & relationships']",False,False
cl.jooble.org,"['education', 'jobs & education', 'text & instant messaging', 'social networks', 'internet & telecom', 'online communities']","['finance', 'jobs & education', 'jobs', 'career resources & planning', 'job listings']",False,False
m.4d88.asia,"['travel & transportation', 'classic vehicles', 'autos & vehicles', 'vehicle shows']","['forum & chat providers', 'live sporting events', 'sports', 'arts & entertainment', 'online communities']",False,False
silfmonitoraggio.regione.campania.it,"['computers & electronics', 'consumer electronics', 'software']","['computers & electronics', 'business operations', 'business & industrial', 'human resources']",False,False
eroticmv.com,"['travel & transportation', 'comics', 'outdoors', 'arts & entertainment', 'hobbies & leisure']","['arts & entertainment', 'entertainment industry', 'online video', 'movies']",False,False
