Website URL,Topics,Manual,Match,Empty
sadlierconnect.com,"['primary & secondary schooling (k-12)', 'education']","['education', 'reference', 'colleges & universities', 'educational resources', 'jobs & education']",False,False
webcampus.fdu.edu,"['arts & entertainment', 'colleges & universities']","['education', 'reference', 'colleges & universities', 'educational resources', 'jobs & education']",False,False
www.softbank.jp,"['business & industrial', 'phone service providers']","['accounting & auditing', 'currencies & foreign exchange', 'finance', 'investing', 'credit cards', 'tax preparation & planning']",False,False
www.camif.fr,['business & industrial'],"['home improvement', 'home & garden', 'household supplies', 'home & interior decor']",False,False
codsaya.com,['news'],"['card games', 'travel & transportation', 'tourist destinations', 'acting & theater', 'games', 'arts & entertainment']",False,False
www.livefans.jp,['concerts & music festivals'],"['live comedy', 'acting & theater', 'arts & entertainment', 'online video', 'humor']",False,False
glitch.com,['business & industrial'],"['web design & development', 'programming', 'web apps & online tools', 'computers & electronics', 'internet & telecom']",False,False
www.casper.com.tr,"['arts & entertainment', 'tv & video']","['computers & electronics', 'shopping', 'laptops & notebooks']",False,False
jedileri.ba,['news'],"['legal', 'business & industrial', 'law & government', 'construction & maintenance', 'human resources', 'business operations', 'legal services']",False,False
playsports.sbobet.com,"['sports', 'soccer', 'news']","['arts & entertainment', 'sports', 'live sporting events']",False,False
www.dvauction.com,"['shopping', 'business & industrial']","['advertising & marketing', 'business & industrial', 'live sporting events', 'arts & entertainment', 'sales', 'online video']",False,False
web.bpl.net,['banking'],"['web apps & online tools', 'computers & electronics', 'software', 'operating systems', 'internet & telecom']",False,False
direct.uber.com,"['car rentals', 'arts & entertainment']","['travel & transportation', 'car rentals', 'business & industrial', 'automotive industry']",False,False
www.fust.ch,['business news'],"['shopping', 'computers & electronics', 'home & garden']",False,False
silfmonitoraggio.regione.campania.it,['law & government'],"['computers & electronics', 'business operations', 'business & industrial', 'human resources']",False,False
gamesfull.app,"['internet & telecom', 'computer & video games']","['forum & chat providers', 'computer & video games', 'movie listings & theater showtimes', 'games', 'arts & entertainment', 'online communities']",False,False
www.laprensalara.com.ve,"['local news', 'news']","['arts & entertainment', 'sports', 'news', 'live sporting events']",False,False
shop.globomoda.com,"['fashion & style', 'shopping', 'apparel']","['beauty & fitness', 'travel & transportation', 'luggage & travel accessories', 'shopping', 'fashion & style']",False,False
trans.info,['business & industrial'],"['news', 'travel & transportation', 'cargo trucks & trailers', 'long distance bus & rail', 'autos & vehicles']",False,False
www.myflfamilies.com,"['law & government', 'people & society']","['people & society', 'news', 'local news', 'home & garden', 'family & relationships', 'home safety & security']",False,False
www.adecco.fr,"['recruitment & staffing', 'job listings']","['news', 'internet & telecom', 'web apps & online tools', 'jobs & education', 'local news', 'jobs', 'career resources & planning']",False,False
thesimplehelp.com,['books & literature'],"['forum & chat providers', 'jobs & education', 'jobs', 'career resources & planning', 'online communities']",False,False
www.hb-nippon.com,"['baseball', 'primary & secondary schooling (k-12)', 'sports', 'news']","['forum & chat providers', 'news', 'politics', 'local news', 'online communities']",False,False
www.pcworld.pl,"['computers & electronics', 'news']","['web apps & online tools', 'home appliances', 'computers & electronics', 'home & garden', 'internet & telecom']",False,False
skemaraja.dephub.go.id,['law & government'],"['travel & transportation', 'hotels & accommodations']",False,False
www.codmon.com,"['autos & vehicles', 'shopping', 'vehicle parts & accessories']","['education', 'colleges & universities', 'jobs & education', 'early childhood education']",False,False
www.enligne.parionssport.fdj.fr,"['sports', 'sporting goods']","['arts & entertainment', 'sports', 'finance', 'live sporting events']",False,False
demonssouls.wiki.fextralife.com,"['roleplaying games', 'action & platform games', 'computer & video games']","['computer & video games', 'people & society', 'games', 'strategy games', 'action & platform games', 'science fiction & fantasy']",False,False
onba.zkb.ch,"['credit & lending', 'banking']","['finance', 'investing', 'financial planning & management', 'credit cards', 'stocks & bonds']",False,False
sakti123.co,"['business & industrial', 'internet & telecom']","['finance', 'investing', 'card games', 'games', 'online communities']",False,False
www.comingsoon.it,"['movies', 'tv & video']","['news', 'politics', 'movies', 'arts & entertainment', 'online video']",False,False
put888a.com,['colleges & universities'],"['arts & entertainment', 'online communities', 'finance', 'investing']",False,False
www.saamana.com,['people & society'],"['online communities', 'news', 'politics', 'local news']",False,False
www.mondelezinternational.com,['hobbies & leisure'],"['food & drink', 'cooking & recipes', 'agriculture & forestry', 'business & industrial', 'healthy eating']",False,False
apps-lb.rapidrad.com,"['online communities', 'music & audio']","['finance', 'hospitality industry', 'insurance', 'web apps & online tools', 'business & industrial', 'health insurance', 'internet & telecom']",False,False
animelek.me,"['tv & video', 'comics & animation', 'arts & entertainment']","['animated films', 'tv shows & programs', 'movies', 'arts & entertainment', 'online video']",False,False
www.superdry.in,['online communities'],"[""men's clothing"", 'beauty & fitness', ""women's clothing"", 'shopping', 'fashion & style']",False,False
eroticmv.com,"['movie & tv streaming', 'movies']","['arts & entertainment', 'entertainment industry', 'online video', 'movies']",False,False
videoportal.joj.sk,"['movie & tv streaming', 'tv & video']","['arts & entertainment', 'movies', 'online video', 'tv shows & programs']",False,False
emploi.educarriere.ci,['job listings'],"['legal', 'jobs & education', 'jobs', 'law & government', 'career resources & planning', 'legal services']",False,False
fcbayern.com,"['sports', 'soccer', 'news']","['arts & entertainment', 'sports', 'online communities', 'live sporting events']",False,False
expressjs.com,['news'],"['computers & electronics', 'internet & telecom', 'web design & development', 'programming']",False,False
wrestletalk.com,"['celebrities & entertainment news', 'combat sports']","['news', 'wrestling', 'arts & entertainment', 'sports', 'online video']",False,False
www.colgate.com,['hygiene & toiletries'],"['beauty & fitness', 'people & society', 'clean beauty', 'face & body care', 'bath & body products']",False,False
www.trial-net.co.jp,['internet service providers (isps)'],"['machine learning & artificial intelligence', 'science', 'business & industrial', 'retail trade', 'business operations']",False,False
career.indomaretgroup.com,['job listings'],"['finance', 'business & industrial', 'jobs & education', 'financial planning & management', 'jobs', 'retail trade', 'career resources & planning']",False,False
www.bergzeit.de,['hiking & camping'],"['fashion & style', 'beauty & fitness', 'fitness', 'sports']",False,False
streamvid.net,"['online communities', 'tv & video', 'arts & entertainment']","['arts & entertainment', 'entertainment industry', 'online video', 'tv shows & programs']",False,False
alottovip.co,['news'],"['online communities', 'finance', 'investing', 'stocks & bonds']",False,False
www.fanfiction.net,['fan fiction'],"['online communities', 'forum & chat providers', 'books & literature', 'arts & entertainment']",False,False
brave.com,['arts & entertainment'],"['web browsers', 'network security', 'computers & electronics', 'software', 'internet & telecom']",False,False
registroestudiantes.fevp.gob.ve,['colleges & universities'],"['business & industrial', 'law & government', 'home & garden', 'construction & maintenance', 'landscape design']",False,False
asiemodel.net,"['computers & electronics', 'education', 'visual art & design']","['education', 'distance learning', 'jobs & education', 'vocational & continuing education', 'jobs', 'career resources & planning']",False,False
www.nkd.com,"['home & interior decor', 'apparel']","['beauty & fitness', 'home & garden', 'home & interior decor', 'fashion & style', 'home improvement']",False,False
www.khabarfoori.com,"['local news', 'news']","['arts & entertainment', 'sports', 'news', 'politics']",False,False
suite.sogiscuola.com,"['primary & secondary schooling (k-12)', 'standardized & admissions tests']","['education', 'web apps & online tools', 'distance learning', 'jobs & education', 'internet & telecom']",False,False
developer.android.com,"['internet & telecom', 'mobile phones', 'computers & electronics']","['smart phones', 'computers & electronics', 'operating systems', 'software', 'internet & telecom']",False,False
www.dish.com,"['service providers', 'cable & satellite providers']","['arts & entertainment', 'live sporting events', 'tv shows & programs']",False,False
www.dominos.nl,['pizzerias'],"['food & drink', 'advertising & marketing', 'agriculture & forestry', 'business & industrial', 'food production', 'sales']",False,False
loadedfiles.com,"['web services', 'online communities']","['computers & electronics', 'internet & telecom', 'networking', 'distributed & cloud computing']",False,False
www.grubiks.com,['arts & entertainment'],"['computer & video games', 'programming', 'web apps & online tools', 'computers & electronics', 'games', 'strategy games', 'internet & telecom']",False,False
vodiy.ua,"['autos & vehicles', 'law & government', 'education']","['standardized & admissions tests', 'education', 'travel & transportation', 'jobs & education', 'automotive industry', 'business & industrial']",False,False
astv.ru,"['local news', 'internet & telecom', 'arts & entertainment']","['talk radio', 'news', 'music & audio', 'tv shows & programs', 'arts & entertainment']",False,False
qquing.net,['comics & animation'],"['forum & chat providers', 'comics', 'entertainment industry', 'arts & entertainment', 'online communities']",False,False
plus.wowma.jp,"['computer & video games', 'arts & entertainment']","['beauty & fitness', 'food & drink', 'food & grocery retailers', 'fashion & style', 'sports']",False,False
hydrogenexecutor.com,"['roleplaying games', 'computer & video games']","['computer & video games', 'web apps & online tools', 'games', 'internet & telecom', 'online communities']",False,False
lilluna.com,['hobbies & leisure'],"['food & drink', 'cooking & recipes', 'arts & entertainment', 'online communities', 'online video']",False,False
www.fashiongo.net,"['fashion & style', 'apparel']","['beauty & fitness', 'business & industrial', 'home & garden', 'home & interior decor', 'retail trade', 'fashion & style']",False,False
www.poco.de,"['mass merchants & department stores', 'building materials & supplies', 'home & garden']","['home appliances', 'home improvement', 'home & garden', 'home & interior decor']",False,False
t.rasp.yandex.by,['business & industrial'],"['travel & transportation', 'air travel', 'travel guides & travelogues', 'long distance bus & rail']",False,False
www.koimoi.com,['movies'],"['arts & entertainment', 'news', 'tv shows & programs']",False,False
www.am.com.mx,"['local news', 'news']","['sports', 'people & society', 'news']",False,False
mvtk.jp,"['celebrities & entertainment news', 'news']","['arts & entertainment', 'movie listings & theater showtimes', 'movies', 'acting & theater']",False,False
