Unique ID,Parent,Name,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5
1,1,Arts & Entertainment,Arts & Entertainment,,,,
2,1,Acting & Theater,Arts & Entertainment,Acting & Theater,,,
3,1,Comics,Arts & Entertainment,Comics,,,
4,1,Concerts & Music Festivals,Arts & Entertainment,Concerts & Music Festivals,,,
5,1,Dance,Arts & Entertainment,Dance,,,
6,1,Entertainment Industry,Arts & Entertainment,Entertainment Industry,,,
7,1,Humor,Arts & Entertainment,Humor,,,
8,7,Live Comedy,Arts & Entertainment,Humor,Live Comedy,,
9,1,Live Sporting Events,Arts & Entertainment,Live Sporting Events,,,
10,1,Magic,Arts & Entertainment,Magic,,,
11,1,Movie Listings & Theater Showtimes,Arts & Entertainment,Movie Listings & Theater Showtimes,,,
12,1,Movies,Arts & Entertainment,Movies,,,
13,12,Action & Adventure Films,Arts & Entertainment,Movies,Action & Adventure Films,,
14,12,Animated Films,Arts & Entertainment,Movies,Animated Films,,
15,12,Comedy Films,Arts & Entertainment,Movies,Comedy Films,,
16,12,Cult & Indie Films,Arts & Entertainment,Movies,Cult & Indie Films,,
17,12,Documentary Films,Arts & Entertainment,Movies,Documentary Films,,
18,12,Drama Films,Arts & Entertainment,Movies,Drama Films,,
19,12,Family Films,Arts & Entertainment,Movies,Family Films,,
20,12,Horror Films,Arts & Entertainment,Movies,Horror Films,,
21,12,Romance Films,Arts & Entertainment,Movies,Romance Films,,
22,12,"Thriller, Crime & Mystery Films",Arts & Entertainment,Movies,"Thriller, Crime & Mystery Films",,
23,1,Music & Audio,Arts & Entertainment,Music & Audio,,,
24,23,Blues,Arts & Entertainment,Music & Audio,Blues,,
25,23,Classical Music,Arts & Entertainment,Music & Audio,Classical Music,,
26,23,Country Music,Arts & Entertainment,Music & Audio,Country Music,,
27,23,Dance & Electronic Music,Arts & Entertainment,Music & Audio,Dance & Electronic Music,,
28,23,Folk & Traditional Music,Arts & Entertainment,Music & Audio,Folk & Traditional Music,,
29,23,Jazz,Arts & Entertainment,Music & Audio,Jazz,,
30,23,Musical Instruments,Arts & Entertainment,Music & Audio,Musical Instruments,,
31,23,Pop Music,Arts & Entertainment,Music & Audio,Pop Music,,
32,23,Rap & Hip-Hop,Arts & Entertainment,Music & Audio,Rap & Hip-Hop,,
33,23,Rock Music,Arts & Entertainment,Music & Audio,Rock Music,,
34,33,Classic Rock & Oldies,Arts & Entertainment,Music & Audio,Rock Music,Classic Rock & Oldies,
35,33,Hard Rock & Progressive,Arts & Entertainment,Music & Audio,Rock Music,Hard Rock & Progressive,
36,33,Indie & Alternative Music,Arts & Entertainment,Music & Audio,Rock Music,Indie & Alternative Music,
37,23,Soul & R&B,Arts & Entertainment,Music & Audio,Soul & R&B,,
38,23,Soundtracks,Arts & Entertainment,Music & Audio,Soundtracks,,
39,23,Talk Radio,Arts & Entertainment,Music & Audio,Talk Radio,,
40,23,World Music,Arts & Entertainment,Music & Audio,World Music,,
41,40,Reggae & Caribbean Music,Arts & Entertainment,Music & Audio,World Music,Reggae & Caribbean Music,
42,1,Online Image Galleries,Arts & Entertainment,Online Image Galleries,,,
43,1,Online Video,Arts & Entertainment,Online Video,,,
44,1,Opera,Arts & Entertainment,Opera,,,
45,1,TV Shows & Programs,Arts & Entertainment,TV Shows & Programs,,,
46,45,TV Comedies,Arts & Entertainment,TV Shows & Programs,TV Comedies,,
47,45,TV Documentary & Nonfiction,Arts & Entertainment,TV Shows & Programs,TV Documentary & Nonfiction,,
48,45,TV Dramas,Arts & Entertainment,TV Shows & Programs,TV Dramas,,
49,48,TV Soap Operas,Arts & Entertainment,TV Shows & Programs,TV Dramas,TV Soap Operas,
50,45,TV Family-Oriented Shows,Arts & Entertainment,TV Shows & Programs,TV Family-Oriented Shows,,
51,45,TV Reality Shows,Arts & Entertainment,TV Shows & Programs,TV Reality Shows,,
52,45,TV Sci-Fi & Fantasy Shows,Arts & Entertainment,TV Shows & Programs,TV Sci-Fi & Fantasy Shows,,
53,1,Visual Art & Design,Arts & Entertainment,Visual Art & Design,,,
54,53,Design,Arts & Entertainment,Visual Art & Design,Design,,
55,53,Painting,Arts & Entertainment,Visual Art & Design,Painting,,
56,53,Photographic & Digital Arts,Arts & Entertainment,Visual Art & Design,Photographic & Digital Arts,,
57,57,Autos & Vehicles,Autos & Vehicles,,,,
58,57,Cargo Trucks & Trailers,Autos & Vehicles,Cargo Trucks & Trailers,,,
59,57,Classic Vehicles,Autos & Vehicles,Classic Vehicles,,,
60,57,Custom & Performance Vehicles,Autos & Vehicles,Custom & Performance Vehicles,,,
61,57,Gas Prices & Vehicle Fueling,Autos & Vehicles,Gas Prices & Vehicle Fueling,,,
62,57,Motor Vehicles (By Type),Autos & Vehicles,Motor Vehicles (By Type),,,
63,62,Autonomous Vehicles,Autos & Vehicles,Motor Vehicles (By Type),Autonomous Vehicles,,
64,62,Convertibles,Autos & Vehicles,Motor Vehicles (By Type),Convertibles,,
65,62,Coupes,Autos & Vehicles,Motor Vehicles (By Type),Coupes,,
66,62,Hatchbacks,Autos & Vehicles,Motor Vehicles (By Type),Hatchbacks,,
67,62,Hybrid & Alternative Vehicles,Autos & Vehicles,Motor Vehicles (By Type),Hybrid & Alternative Vehicles,,
68,62,Luxury Vehicles,Autos & Vehicles,Motor Vehicles (By Type),Luxury Vehicles,,
69,62,Microcars & Subcompacts,Autos & Vehicles,Motor Vehicles (By Type),Microcars & Subcompacts,,
70,62,Motorcycles,Autos & Vehicles,Motor Vehicles (By Type),Motorcycles,,
71,62,Off-Road Vehicles,Autos & Vehicles,Motor Vehicles (By Type),Off-Road Vehicles,,
